VIN (1-10),County,City,Model Year,Make,Model,Electric Vehicle Type,Electric Range,Vehicle Location
5YJXCDE20L,Thurston,Olympia,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),289,POINT (-122.81754 46.98876)
5YJ3E1EB8J,Snohomish,Lynnwood,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.29245 47.82557)
1N4AZ0CP5F,Kitsap,Bremerton,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.61136 47.5752)
1N4AZ1BV5P,Thurston,Olympia,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),0,POINT (-122.92333 47.03779)
JTDACACU0R,Snohomish,Bothell,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),39,POINT (-122.21061 47.83448)
JTMABACA4R,Yakima,Yakima,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),0,POINT (-120.4778 46.55351)
KNDC4DLC4P,Kitsap,Suquamish,2023,KIA,EV6,Battery Electric Vehicle (BEV),0,POINT (-122.55242 47.73162)
7SAYGDEE1P,Snohomish,Bothell,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.21061 47.83448)
5YJYGDEE8L,Thurston,Tumwater,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,POINT (-122.89166 47.03956)
1N4BZ1CP8K,Kitsap,Kingston,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150,POINT (-122.4977 47.79802)
KNDRJDJH8S,Thurston,Tumwater,2025,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),30,POINT (-122.89166 47.03956)
WVWPR7AU9K,Snohomish,Edmonds,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),125,POINT (-122.37689 47.81116)
5YJSA1E26G,Kitsap,Bainbridge Island,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,POINT (-122.521 47.62728)
5YJSA1E16G,Kitsap,Port Orchard,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,POINT (-122.68516 47.50645)
1N4CZ1CV9S,Yakima,Yakima,2025,NISSAN,LEAF,Battery Electric Vehicle (BEV),0,POINT (-120.60272 46.59656)
KNDCS3LF5R,Kitsap,Bremerton,2024,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),33,POINT (-122.6563 47.56739)
5YJXCBE21J,Snohomish,Bothell,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238,POINT (-122.21061 47.83448)
WBY1Z2C59F,King,Seattle,2015,BMW,I3,Battery Electric Vehicle (BEV),81,POINT (-122.38591 47.67597)
5UXKT0C53G,Thurston,Lacey,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),14,POINT (-122.81754 46.98876)
5YJ3E1EA9J,King,Auburn,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.1821 47.3199)
1FMCU0E13R,Kitsap,Bremerton,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),37,POINT (-122.60915 47.62631)
1C4JJXR61P,Thurston,Lacey,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-122.82324 47.04437)
JHMZC5F32J,Snohomish,Bothell,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),47,POINT (-122.21061 47.83448)
1N4AZ1BP3L,Kitsap,Poulsbo,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),149,POINT (-122.64681 47.73689)
5YJ3E1EB6K,Thurston,Lacey,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.82324 47.04437)
5YJYGDEE0M,Thurston,Lacey,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.82324 47.04437)
5YJ3E1ET2R,Thurston,Olympia,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.9131 47.01359)
1N4AZ1CP3J,Snohomish,Bothell,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,POINT (-122.18384 47.8031)
5YJ3E1EA5L,Yakima,Yakima,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,POINT (-120.52401 46.59739)
WAUTPBFF9J,Kitsap,Port Orchard,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16,POINT (-122.63847 47.54103)
WBA8E1C32H,Thurston,Tumwater,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),14,POINT (-122.9131 47.01359)
5YJ3E1EA6K,Thurston,Olympia,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.87741 47.05997)
JTMAB3FV2R,Yakima,Tieton,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,POINT (-120.75541 46.70257)
1C4JJXR6XN,Yakima,Yakima,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),22,POINT (-120.52401 46.59739)
1FTVW1EV2P,Thurston,Lacey,2023,FORD,F-150,Battery Electric Vehicle (BEV),0,POINT (-122.75103 47.08149)
5YJXCDE24L,Snohomish,Everett,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),289,POINT (-122.18637 47.89251)
5YJ3E1EA9L,King,Duvall,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,POINT (-121.98609 47.74068)
5YJ3E1EA9J,Thurston,Olympia,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.81754 46.98876)
1N4AZ0CP0F,King,Seattle,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.36893 47.54701)
5YJXCBE41J,Yakima,Yakima,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238,POINT (-120.4778 46.55351)
WA11AAGE6P,Thurston,Lacey,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),0,POINT (-122.75103 47.08149)
1G1FW6S06H,Yakima,Yakima,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,POINT (-120.50729 46.60464)
WBY33AW05R,Yakima,Yakima,2024,BMW,I4,Battery Electric Vehicle (BEV),0,POINT (-120.52401 46.59739)
5YJXCAE2XJ,Snohomish,Bothell,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238,POINT (-122.18384 47.8031)
3FA6P0SU3F,Kitsap,Kingston,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19,POINT (-122.4977 47.79802)
1FADP5CU2G,Thurston,Olympia,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19,POINT (-122.89166 47.03956)
WB523CF03R,Snohomish,Brier,2024,BMW,IX,Battery Electric Vehicle (BEV),0,POINT (-122.29245 47.82557)
JN1AZ0CP7C,Thurston,Olympia,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-122.87741 47.05997)
JTMAB3FV4R,Thurston,Olympia,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,POINT (-122.89166 47.03956)
1G1FY6S07L,Yakima,Yakima,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,POINT (-120.60272 46.59656)
1G1FW6S04H,Thurston,Olympia,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,POINT (-122.81754 46.98876)
5YJ3E1EA2K,Kitsap,Silverdale,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.69275 47.65171)
7SAYGDEF5P,Thurston,Olympia,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.81754 46.98876)
WA1F2AFY6R,Snohomish,Lynnwood,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),23,POINT (-122.29245 47.82557)
7SAYGDEE1P,Snohomish,Bothell,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.21061 47.83448)
5YJ3E1EB0J,King,Seattle,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.32427 47.63433)
5UXKT0C52J,King,Seattle,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),13,POINT (-122.31676 47.68156)
1N4AZ1CP8J,Thurston,Tumwater,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,POINT (-122.9131 47.01359)
1N4AZ0CP6F,King,Seattle,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.31676 47.68156)
5YJ3E1EC5L,King,Issaquah,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308,POINT (-122.00292 47.54748)
1G1FY6S07K,King,Kent,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,POINT (-122.19975 47.37483)
1G1RB6E46D,Yakima,Yakima,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38,POINT (-120.52401 46.59739)
WBY7Z8C5XJ,Kitsap,Kingston,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),97,POINT (-122.4977 47.79802)
1G1RD6E40E,Yakima,Yakima,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38,POINT (-120.52401 46.59739)
1G1RC6S54G,Thurston,Olympia,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,POINT (-122.89166 47.03956)
5YJ3E1EA4L,Kitsap,Port Orchard,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,POINT (-122.68516 47.50645)
1N4BZ1CP3K,King,Seattle,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150,POINT (-122.30207 47.64085)
7SAYGDEE4P,Thurston,Olympia,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.89166 47.03956)
KNDJX3AE2H,Skagit,Mount Vernon,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),93,POINT (-122.32295 48.4152)
1C4RJXU6XR,Snohomish,Everett,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-122.27557 47.88936)
1N4AZ0CP4D,Snohomish,Everett,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75,POINT (-122.18637 47.89251)
5YJSA1E26G,Thurston,Olympia,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,POINT (-122.92333 47.03779)
5YJ3E1EB5J,Island,Langley,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.40618 48.0399)
5YJ3E1EA4J,King,Kent,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.17743 47.41185)
5YJ3E1EC8L,Snohomish,Monroe,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308,POINT (-121.98087 47.8526)
1G1FZ6S00L,Snohomish,Mukilteo,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,POINT (-122.29196 47.89908)
JN1AZ0CP7C,Snohomish,Brier,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-122.29245 47.82557)
WP0AC2Y18L,King,Renton,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),192,POINT (-122.1805 47.50006)
KNDC3DLC6N,Yakima,Yakima,2022,KIA,EV6,Battery Electric Vehicle (BEV),0,POINT (-120.52401 46.59739)
1C4RJXN60R,Spokane,Cheney,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-117.57445 47.48928)
5YJ3E1EB2K,Grant,Royal City,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-119.63136 46.90248)
5YJ3E1EB0K,Kitsap,Bainbridge Island,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.521 47.62728)
5YJ3E1EA9L,King,Seatac,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,POINT (-122.29179 47.43473)
1C4RJYB63P,Kitsap,Kingston,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25,POINT (-122.4977 47.79802)
5YJ3E1EB7J,Snohomish,Everett,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.18637 47.89251)
7PDSGBBA0P,Snohomish,Snohomish,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),0,POINT (-122.1389 47.87115)
5YJ3E1EB9L,Chelan,Wenatchee,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322,POINT (-120.30522 47.41494)
WA1E2AFY1R,Kitsap,Poulsbo,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),23,POINT (-122.64681 47.73689)
KM8K53AG5L,Yakima,Yakima,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),258,POINT (-120.52401 46.59739)
5YJ3E1EB6J,King,Seattle,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.36893 47.54701)
5YJSA1E28H,King,Snoqualmie,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,POINT (-121.82432 47.52716)
JTDKARFP6L,Kitsap,Bremerton,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25,POINT (-122.6563 47.56739)
3FA6P0PU8H,Thurston,Olympia,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-122.81754 46.98876)
1G1FY6S02P,Whitman,Pullman,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0,POINT (-117.18147 46.73015)
5YJ3E1EB1K,Kitsap,Bainbridge Island,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.521 47.62728)
5YJ3E1EA7K,Kitsap,Bremerton,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.6563 47.56739)
5YJ3E1EA3J,Snohomish,Everett,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.27557 47.88936)
WBAJB1C51J,Snohomish,Everett,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),14,POINT (-122.18637 47.89251)
KNDCC3LD4K,King,Seattle,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,POINT (-122.38418 47.70044)
5YJYGDEF4L,King,Seattle,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,POINT (-122.38418 47.70044)
5YJSA1E23H,King,Redmond,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,POINT (-122.03287 47.68555)
5YJ3E1EB4J,Skagit,La Conner,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.49724 48.38874)
1N4AZ0CP3D,King,Seattle,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75,POINT (-122.30253 47.72656)
5YJSA1E26J,Thurston,Lacey,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249,POINT (-122.75103 47.08149)
5YJ3E1EB7K,King,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.31676 47.68156)
1G1RC6E40F,Kitsap,Port Orchard,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38,POINT (-122.63847 47.54103)
1N4AZ0CP8F,Snohomish,Marysville,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.1769 48.06114)
LPSED3KA8M,King,Seattle,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),233,POINT (-122.35436 47.67596)
5YJ3E1EA8M,Snohomish,Bothell,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-122.18384 47.8031)
7FCTGCAP2S,Snohomish,Edmonds,2025,RIVIAN,R1T,Battery Electric Vehicle (BEV),0,POINT (-122.31768 47.87166)
5YJSA1E24J,King,Redmond,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249,POINT (-122.13158 47.67858)
3FMTK4SE4M,Yakima,Yakima,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),0,POINT (-120.4778 46.55351)
7FCTGBAA8S,Whitman,Pullman,2025,RIVIAN,R1T,Battery Electric Vehicle (BEV),0,POINT (-117.18147 46.73015)
5YJYGDEE1L,Snohomish,Arlington,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,POINT (-122.1264 48.19471)
YV4H60DM0R,Thurston,Olympia,2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),35,POINT (-122.9131 47.01359)
WBY1Z6C53H,Thurston,Olympia,2017,BMW,I3,Battery Electric Vehicle (BEV),81,POINT (-122.81754 46.98876)
5YJ3E1EB1J,Skagit,Burlington,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.33029 48.46846)
3FA6P0PU3G,Island,Oak Harbor,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19,POINT (-122.64682 48.29077)
5YJ3E1EAXL,Skagit,Sedro-Woolley,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,POINT (-122.23857 48.50858)
JN1AZ0CP6C,Snohomish,Mill Creek,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,POINT (-122.21061 47.83448)
7PDSGABA5P,Snohomish,Woodway,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),0,POINT (-122.37689 47.81116)
5YJ3E1EB8J,Skagit,Bow,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.397 48.56045)
1N4AZ1CP4J,Kitsap,Port Orchard,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,POINT (-122.68516 47.50645)
